id,location_id,date,weather,max_temp_c,min_temp_c,avg_temp_c,precipitation_mm,humidity_pct,wind_speed_mps
38,2,2021-09-29,雨,25.0,16.3,20.6,10.8,99.0,3.6
39,3,2021-09-29,雨,18.6,10.2,14.4,0.5,95.6,5.1
40,4,2021-09-29,雨,21.4,12.8,17.1,10.1,85.4,4.3
41,1,2021-09-30,雨,26.0,17.1,21.6,14.2,91.1,4.8
42,2,2021-09-30,雨,24.4,15.9,20.1,0.5,92.6,4.0
43,3,2021-09-30,雨,21.2,12.4,16.8,0.5,94.7,2.8
44,4,2021-09-30,雨,20.1,12.0,16.1,7.6,94.4,6.2
45,1,2021-10-01,雨,23.8,15.5,19.6,0.5,87.9,4.4
46,2,2021-10-01,雨,24.0,15.8,19.9,9.9,82.6,4.0
47,3,2021-10-01,雨,18.5,10.3,14.4,10.0,85.7,2.8
48,4,2021-10-01,雨,23.1,14.5,18.8,2.0,85.4,3.2
49,1,2021-10-02,雨,22.6,14.2,18.4,5.4,84.9,3.4
50,2,2021-10-02,雨,25.7,16.8,21.2,9.1,79.1,3.8
51,3,2021-10-02,雨,20.5,11.7,16.1,9.7,93.8,2.5
52,4,2021-10-02,雨,21.7,13.1,17.4,14.3,78.7,4.4
53,1,2021-10-03,雨,21.8,13.3,17.6,21.0,94.5,2.2
54,2,2021-10-03,雨,23.9,15.1,19.5,49.9,87.9,4.1
55,3,2021-10-03,雨,17.3,8.8,13.1,87.3,88.2,4.2
56,4,2021-10-03,雨,19.1,10.7,14.9,10.2,86.7,3.6
57,1,2021-10-04,雨,23.2,14.5,18.9,13.9,87.4,1.8
58,2,2021-10-04,雨,23.0,14.5,18.8,5.1,85.3,3.8
59,3,2021-10-04,雨,19.2,10.4,14.8,10.3,87.7,1.5
60,4,2021-10-04,雨,23.0,13.9,18.4,7.3,85.7,4.4
61,1,2021-10-05,曇り,24.1,15.3,19.7,0.0,74.1,1.4
62,2,2021-10-05,曇り,25.8,16.8,21.3,0.0,66.5,2.4
63,3,2021-10-05,曇り,19.6,10.8,15.2,0.0,71.1,1.8
64,4,2021-10-05,曇り,21.6,12.8,17.2,0.0,66.3,3.0
65,1,2021-10-06,雨,26.0,17.0,21.5,7.7,79.9,3.9
66,2,2021-10-06,雨,25.8,16.9,21.4,0.5,85.5,3.5
67,3,2021-10-06,雨,22.5,13.2,17.9,1.4,93.5,2.8
68,4,2021-10-06,雨,21.9,13.2,17.5,12.6,82.6,4.9
69,1,2021-10-07,雨,26.9,18.0,22.4,43.4,78.1,4.2
70,2,2021-10-07,雨,27.7,18.7,23.2,5.0,90.6,3.6
71,3,2021-10-07,雨,21.1,12.4,16.8,3.8,86.8,4.0
72,4,2021-10-07,雨,23.8,15.1,19.4,0.5,74.5,1.4
73,1,2021-10-08,雨,25.9,16.9,21.4,26.4,82.8,3.8
74,2,2021-10-08,雨,26.0,17.2,21.6,66.4,87.8,2.5
75,3,2021-10-08,雨,20.6,11.8,16.2,2.3,90.6,5.2
76,4,2021-10-08,雨,24.2,15.1,19.6,4.2,84.4,5.2
77,1,2021-10-09,晴れ,25.2,16.2,20.7,0.0,51.8,3.6
78,2,2021-10-09,曇り,27.4,18.1,22.8,0.0,72.4,2.5
79,3,2021-10-09,曇り,21.3,12.3,16.8,0.0,65.5,0.6
80,4,2021-10-09,曇り,22.6,13.8,18.2,0.0,67.0,4.4
81,1,2021-10-10,曇り,22.4,13.7,18.0,0.0,61.3,2.1
82,2,2021-10-10,晴れ,25.1,16.0,20.6,0.0,57.4,3.5
83,3,2021-10-10,晴れ,22.8,13.1,17.9,0.0,53.9,0.4
84,4,2021-10-10,晴れ,22.2,13.1,17.6,0.0,55.4,3.2
85,1,2021-10-11,晴れ,24.7,15.5,20.1,0.0,42.8,1.4
86,2,2021-10-11,曇り,24.0,15.1,19.6,0.0,80.9,1.7
87,3,2021-10-11,晴れ,18.7,9.8,14.2,0.0,55.1,2.1
88,4,2021-10-11,曇り,22.5,13.3,17.9,0.0,57.5,2.4
89,1,2021-10-12,曇り,23.1,14.0,18.6,0.0,65.7,1.9
90,2,2021-10-12,曇り,22.9,13.9,18.4,0.0,73.3,1.6
91,3,2021-10-12,曇り,16.7,8.0,12.3,0.0,67.8,1.8
92,4,2021-10-12,曇り,19.9,11.0,15.4,0.0,69.4,1.6
93,1,2021-10-13,曇り,22.3,13.5,17.9,0.0,67.1,3.8
94,2,2021-10-13,曇り,26.1,16.7,21.4,0.0,68.0,1.8
95,3,2021-10-13,晴れ,17.2,8.6,12.9,0.0,52.7,3.0
96,4,2021-10-13,曇り,19.8,11.1,15.4,0.0,64.8,1.1
97,1,2021-10-14,晴れ,24.0,15.2,19.6,0.0,64.5,1.3
98,2,2021-10-14,晴れ,24.8,15.9,20.4,0.0,56.2,4.1
99,3,2021-10-14,晴れ,19.9,11.0,15.4,0.0,60.1,2.0
100,4,2021-10-14,晴れ,22.0,13.1,17.6,0.0,54.2,3.1
101,1,2021-10-15,曇り,20.3,12.0,16.1,0.0,69.0,2.2
102,2,2021-10-15,曇り,25.3,16.2,20.8,0.0,67.5,0.6
103,3,2021-10-15,晴れ,17.4,8.8,13.1,0.0,51.5,2.5
104,4,2021-10-15,晴れ,20.9,12.0,16.4,0.0,53.1,3.1
105,1,2021-10-16,晴れ,21.5,12.7,17.1,0.0,58.3,0.7
106,2,2021-10-16,晴れ,23.6,14.5,19.1,0.0,49.8,1.7
107,3,2021-10-16,晴れ,17.3,8.5,12.9,0.0,54.2,2.7
108,4,2021-10-16,曇り,20.2,11.3,15.8,0.0,68.7,2.6
109,1,2021-10-17,曇り,22.5,13.3,17.9,0.0,73.2,4.2
110,2,2021-10-17,晴れ,23.9,14.6,19.2,0.0,52.4,2.5
111,3,2021-10-17,曇り,17.5,8.5,13.0,0.0,67.3,0.9
112,4,2021-10-17,曇り,19.4,10.4,14.9,0.0,75.0,2.6
113,1,2021-10-18,雨,20.8,11.9,16.4,9.9,90.6,4.2
114,2,2021-10-18,雨,22.8,13.6,18.2,17.4,88.5,2.6
115,3,2021-10-18,雨,17.4,8.3,12.8,11.2,80.2,4.1
116,4,2021-10-18,雨,19.7,10.6,15.1,14.2,81.0,3.2
117,1,2021-10-19,晴れ,21.1,12.0,16.6,0.0,48.7,1.8
118,2,2021-10-19,晴れ,23.0,13.7,18.4,0.0,67.8,4.4
119,3,2021-10-19,晴れ,15.9,6.9,11.4,0.0,52.4,2.9
120,4,2021-10-19,晴れ,19.5,10.3,14.9,0.0,61.6,1.8
121,1,2021-10-20,雨,19.8,10.7,15.2,2.4,84.3,4.9
122,2,2021-10-20,雨,21.6,12.2,16.9,19.2,81.7,3.6
123,3,2021-10-20,雨,15.7,6.5,11.1,4.0,92.4,2.5
124,4,2021-10-20,雨,17.9,8.7,13.3,2.5,79.0,3.1
125,1,2021-10-21,晴れ,16.7,7.9,12.3,0.0,57.2,0.5
126,2,2021-10-21,曇り,19.4,10.1,14.8,0.0,69.2,0.3
127,3,2021-10-21,晴れ,13.0,4.0,8.5,0.0,62.7,2.4
128,4,2021-10-21,晴れ,17.3,7.9,12.6,0.0,59.2,3.4
129,1,2021-10-22,曇り,19.4,10.1,14.8,0.0,73.7,1.4
130,2,2021-10-22,晴れ,21.0,11.5,16.2,0.0,59.5,1.4
131,3,2021-10-22,曇り,15.6,6.2,10.9,0.0,56.1,1.5
132,4,2021-10-22,晴れ,16.3,7.1,11.7,0.0,54.7,4.8
133,1,2021-10-23,雨,15.9,7.1,11.5,9.0,82.1,3.8
134,2,2021-10-23,雨,17.3,8.4,12.9,4.2,90.4,4.0
135,3,2021-10-23,雨,13.4,4.2,8.8,20.6,76.9,2.6
136,4,2021-10-23,雨,16.6,7.3,12.0,7.8,90.6,2.4
137,1,2021-10-24,晴れ,19.0,9.7,14.3,0.0,60.7,2.0
138,2,2021-10-24,晴れ,18.3,9.2,13.8,0.0,52.0,3.1
139,3,2021-10-24,曇り,15.0,5.6,10.3,0.0,69.7,2.4
140,4,2021-10-24,晴れ,19.0,9.3,14.2,0.0,41.5,1.9
141,1,2021-10-25,雨,19.9,10.3,15.1,0.5,85.0,4.0
142,2,2021-10-25,雨,20.3,10.8,15.6,11.2,71.6,3.7
143,3,2021-10-25,雨,14.1,4.8,9.4,8.1,87.1,4.4
144,4,2021-10-25,雨,16.6,7.2,11.9,10.9,83.8,3.8
145,1,2021-10-26,晴れ,20.6,11.0,15.8,0.0,61.1,3.4
146,2,2021-10-26,曇り,20.1,10.8,15.5,0.0,80.3,3.7
147,3,2021-10-26,晴れ,14.9,5.5,10.2,0.0,55.9,2.0
148,4,2021-10-26,晴れ,19.6,9.8,14.7,0.0,61.7,2.1
149,1,2021-10-27,晴れ,19.4,9.8,14.6,0.0,63.7,2.2
150,2,2021-10-27,曇り,18.9,9.6,14.2,0.0,72.0,3.7
151,3,2021-10-27,曇り,15.3,5.7,10.5,0.0,72.4,3.3
152,4,2021-10-27,曇り,18.6,8.7,13.7,0.0,67.1,0.7
153,1,2021-10-28,曇り,20.8,10.7,15.8,0.0,71.7,1.9
154,2,2021-10-28,曇り,22.1,11.9,17.0,0.0,72.2,4.1
155,3,2021-10-28,曇り,14.7,4.9,9.8,0.0,75.0,3.6
156,4,2021-10-28,晴れ,17.5,7.7,12.6,0.0,52.0,3.6
157,1,2021-10-29,曇り,18.7,8.6,13.6,0.0,76.0,1.3
158,2,2021-10-29,曇り,17.5,7.7,12.6,0.0,68.8,1.9
159,3,2021-10-29,晴れ,12.4,2.7,7.6,0.0,54.7,3.1
160,4,2021-10-29,曇り,15.9,5.9,10.9,0.0,75.8,3.6
161,1,2021-10-30,晴れ,19.5,9.3,14.4,0.0,45.0,0.8
162,2,2021-10-30,曇り,18.4,8.6,13.5,0.0,70.8,2.1
163,3,2021-10-30,晴れ,13.9,4.0,8.9,0.0,58.9,2.3
164,4,2021-10-30,曇り,16.7,6.7,11.7,0.0,70.6,3.4
165,1,2021-10-31,雨,16.9,7.5,12.2,5.0,95.0,2.7
166,2,2021-10-31,雨,19.3,9.5,14.4,12.9,84.8,3.6
167,3,2021-10-31,雨,14.1,4.3,9.2,15.6,90.6,3.9
168,4,2021-10-31,雨,18.4,8.2,13.3,27.8,73.3,2.9
169,1,2021-11-01,晴れ,16.4,6.5,11.4,0.0,57.5,2.7
170,2,2021-11-01,曇り,19.9,9.4,14.6,0.0,71.0,1.5
171,3,2021-11-01,曇り,12.6,2.5,7.5,0.0,73.6,2.8
172,4,2021-11-01,曇り,16.0,5.7,10.8,0.0,72.9,2.3
173,1,2021-11-02,晴れ,17.4,7.1,12.2,0.0,54.0,3.1
174,2,2021-11-02,晴れ,16.2,6.2,11.2,0.0,45.5,3.1
175,3,2021-11-02,晴れ,13.0,2.7,7.8,0.0,55.9,1.0
176,4,2021-11-02,晴れ,16.1,5.6,10.9,0.0,49.5,0.3
177,1,2021-11-03,雨,14.6,4.6,9.6,9.1,92.0,3.8
178,2,2021-11-03,雨,17.5,7.0,12.2,28.3,89.7,1.9
179,3,2021-11-03,雨,11.4,1.1,6.2,2.8,90.9,2.8
180,4,2021-11-03,雨,13.3,3.2,8.2,42.5,77.9,3.0
181,1,2021-11-04,雨,17.1,6.9,12.0,19.5,78.7,5.1
182,2,2021-11-04,雨,17.0,6.9,11.9,10.8,76.8,3.5
183,3,2021-11-04,雨,13.9,3.4,8.7,7.4,81.9,3.5
184,4,2021-11-04,雨,16.0,5.6,10.8,20.3,98.3,5.5
185,1,2021-11-05,晴れ,19.3,8.6,13.9,0.0,61.1,2.6
186,2,2021-11-05,晴れ,19.0,8.5,13.8,0.0,59.2,2.6
187,3,2021-11-05,晴れ,15.4,4.6,10.0,0.0,66.6,3.4
188,4,2021-11-05,晴れ,16.5,5.9,11.2,0.0,63.8,3.6
189,1,2021-11-06,晴れ,15.7,5.4,10.6,0.0,52.1,1.5
190,2,2021-11-06,晴れ,17.4,6.8,12.1,0.0,58.3,3.1
191,3,2021-11-06,晴れ,11.6,1.2,6.4,0.0,54.3,1.6
192,4,2021-11-06,曇り,15.1,4.5,9.8,0.0,67.6,3.5
193,1,2021-11-07,晴れ,13.9,3.4,8.7,0.0,38.3,1.6
194,2,2021-11-07,晴れ,14.3,3.8,9.1,0.0,51.9,1.2
195,3,2021-11-07,曇り,9.4,-1.2,4.1,0.0,68.7,3.3
196,4,2021-11-07,晴れ,12.4,1.8,7.1,0.0,58.0,0.7
197,1,2021-11-08,晴れ,15.6,4.9,10.2,0.0,59.5,2.7
198,2,2021-11-08,晴れ,15.6,5.1,10.3,0.0,60.1,4.2
199,3,2021-11-08,曇り,8.2,-1.9,3.1,0.0,62.1,0.2
200,4,2021-11-08,晴れ,13.1,2.5,7.8,0.0,59.9,3.0
201,1,2021-11-09,雨,15.5,4.9,10.2,1.3,84.2,2.1
202,2,2021-11-09,雨,17.6,6.7,12.2,0.5,88.4,4.4
203,3,2021-11-09,雨,13.4,2.4,7.9,11.1,80.2,3.8
204,4,2021-11-09,雨,14.9,4.0,9.4,10.0,78.1,2.5
205,1,2021-11-10,曇り,15.8,4.9,10.4,0.0,81.1,2.7
206,2,2021-11-10,曇り,18.2,7.0,12.6,0.0,70.1,2.1
207,3,2021-11-10,曇り,11.2,0.4,5.8,0.0,74.7,2.4
208,4,2021-11-10,晴れ,14.5,3.5,9.0,0.0,45.7,3.3
209,1,2021-11-11,晴れ,16.1,5.1,10.6,0.0,48.5,2.2
210,2,2021-11-11,曇り,14.8,4.2,9.5,0.0,68.3,2.5
211,3,2021-11-11,晴れ,11.3,0.4,5.9,0.0,58.5,4.1
212,4,2021-11-11,晴れ,15.0,3.8,9.4,0.0,58.6,2.4
213,1,2021-11-12,晴れ,16.7,5.7,11.2,0.0,52.6,4.5
214,2,2021-11-12,晴れ,17.2,6.2,11.7,0.0,54.2,5.6
215,3,2021-11-12,晴れ,12.4,1.3,6.9,0.0,56.0,1.5
216,4,2021-11-12,晴れ,15.6,4.4,10.0,0.0,53.1,2.2
217,1,2021-11-13,晴れ,15.9,4.7,10.3,0.0,61.6,2.2
218,2,2021-11-13,晴れ,16.4,5.2,10.8,0.0,52.5,1.3
219,3,2021-11-13,晴れ,9.6,-1.2,4.2,0.0,54.8,1.5
220,4,2021-11-13,晴れ,13.0,2.0,7.5,0.0,51.7,2.2
221,1,2021-11-14,晴れ,13.0,2.3,7.7,0.0,59.3,2.1
222,2,2021-11-14,曇り,14.0,3.1,8.6,0.0,68.7,1.8
223,3,2021-11-14,晴れ,8.6,-2.2,3.2,0.0,38.8,1.3
224,4,2021-11-14,晴れ,11.8,0.8,6.3,0.0,52.9,3.5
225,1,2021-11-15,曇り,11.2,0.6,5.9,0.0,69.8,3.9
226,2,2021-11-15,晴れ,15.1,3.8,9.4,0.0,49.2,2.5
227,3,2021-11-15,晴れ,8.1,-2.8,2.6,0.0,54.0,2.6
228,4,2021-11-15,曇り,11.7,0.5,6.1,0.0,62.1,0.3
229,1,2021-11-16,曇り,15.4,4.4,9.9,0.0,78.4,1.6
230,2,2021-11-16,曇り,17.6,6.3,12.0,0.0,70.2,3.3
231,3,2021-11-16,曇り,9.6,-1.1,4.2,0.0,54.7,4.8
232,4,2021-11-16,晴れ,13.6,2.5,8.1,0.0,56.6,2.1
233,1,2021-11-17,晴れ,16.6,5.7,11.2,0.0,52.7,2.4
234,2,2021-11-17,曇り,18.0,6.9,12.4,0.0,65.4,2.4
235,3,2021-11-17,曇り,12.0,1.1,6.5,0.0,64.6,0.6
236,4,2021-11-17,晴れ,14.8,3.8,9.3,0.0,52.1,2.7
237,1,2021-11-18,雨,16.1,5.0,10.6,7.4,86.9,3.7
238,2,2021-11-18,雨,14.3,3.7,9.0,5.9,77.2,3.9
239,3,2021-11-18,雨,11.3,0.2,5.8,12.1,83.5,4.0
240,4,2021-11-18,雪,13.2,2.2,7.7,8.5,73.1,3.8
241,1,2021-11-19,曇り,13.9,2.8,8.3,0.0,73.9,0.4
242,2,2021-11-19,曇り,14.8,3.7,9.2,0.0,68.5,2.7
243,3,2021-11-19,晴れ,8.9,-2.1,3.4,0.0,45.2,2.2
244,4,2021-11-19,晴れ,10.7,-0.2,5.2,0.0,60.5,1.8
245,1,2021-11-20,曇り,12.7,1.8,7.2,0.0,57.6,3.8
246,2,2021-11-20,曇り,12.0,1.4,6.7,0.0,70.1,0.6
247,3,2021-11-20,晴れ,9.1,-2.0,3.5,0.0,56.0,3.3
248,4,2021-11-20,曇り,11.5,0.4,6.0,0.0,61.0,3.6
249,1,2021-11-21,雪,12.6,1.5,7.0,4.6,76.0,2.1
250,2,2021-11-21,雨,13.3,2.2,7.8,1.8,92.9,3.0
251,3,2021-11-21,雨,8.4,-2.8,2.8,10.4,79.7,2.7
252,4,2021-11-21,雨,8.7,-2.1,3.3,9.1,94.5,3.8
253,1,2021-11-22,曇り,11.9,1.0,6.5,0.0,78.4,2.7
254,2,2021-11-22,曇り,12.7,1.7,7.2,0.0,66.1,1.7
255,3,2021-11-22,晴れ,8.0,-3.1,2.5,0.0,57.7,1.2
256,4,2021-11-22,晴れ,10.3,-0.7,4.8,0.0,56.9,2.9
257,1,2021-11-23,晴れ,10.9,-0.2,5.4,0.0,70.6,2.4
258,2,2021-11-23,晴れ,10.5,-0.4,5.0,0.0,51.9,0.8
259,3,2021-11-23,晴れ,5.4,-5.4,0.0,0.0,50.0,2.3
260,4,2021-11-23,晴れ,8.4,-2.6,2.9,0.0,55.0,0.3
261,1,2021-11-24,曇り,13.3,2.2,7.8,0.0,70.5,3.7
262,2,2021-11-24,曇り,13.0,2.1,7.5,0.0,72.2,1.7
263,3,2021-11-24,晴れ,8.8,-2.3,3.3,0.0,53.4,2.8
264,4,2021-11-24,曇り,9.5,-1.3,4.1,0.0,65.3,3.1
265,1,2021-11-25,曇り,12.1,0.8,6.5,0.0,55.6,1.4
266,2,2021-11-25,曇り,12.3,1.0,6.7,0.0,53.7,2.1
267,3,2021-11-25,曇り,4.8,-6.0,-0.6,0.0,71.4,3.7
268,4,2021-11-25,晴れ,10.6,-0.9,4.8,0.0,60.4,3.2
269,1,2021-11-26,雨,9.7,-1.0,4.3,3.3,86.6,4.2
270,2,2021-11-26,雪,11.7,0.7,6.2,12.7,72.2,1.0
271,3,2021-11-26,雨,5.9,-5.0,0.5,10.8,89.5,3.1
272,4,2021-11-26,雨,8.6,-2.4,3.1,1.1,86.5,3.5
273,1,2021-11-27,曇り,12.0,0.8,6.4,0.0,68.8,2.4
274,2,2021-11-27,晴れ,12.9,1.7,7.3,0.0,56.3,2.9
275,3,2021-11-27,晴れ,5.0,-5.7,-0.4,0.0,48.4,2.0
276,4,2021-11-27,曇り,7.8,-3.0,2.4,0.0,63.3,2.3
277,1,2021-11-28,雨,11.8,0.8,6.3,4.9,77.8,3.1
278,2,2021-11-28,雨,13.4,2.2,7.8,6.2,88.8,4.1
279,3,2021-11-28,雪,7.2,-3.8,1.7,4.9,66.3,3.4
280,4,2021-11-28,雨,12.1,0.6,6.3,50.7,86.0,4.7
281,1,2021-11-29,雨,12.6,1.5,7.0,0.5,85.5,1.6
282,2,2021-11-29,雪,10.9,0.2,5.5,4.8,77.4,1.0
283,3,2021-11-29,雨,7.8,-3.2,2.3,7.0,81.7,4.5
284,4,2021-11-29,雨,10.3,-0.8,4.8,7.4,85.4,6.3
285,1,2021-11-30,晴れ,11.4,0.3,5.9,0.0,55.8,1.3
286,2,2021-11-30,晴れ,13.7,2.3,8.0,0.0,60.3,1.6
287,3,2021-11-30,晴れ,6.6,-4.4,1.1,0.0,57.0,2.7
288,4,2021-11-30,晴れ,7.1,-3.5,1.8,0.0,46.0,2.7
289,1,2021-12-01,雨,14.0,2.9,8.4,0.5,72.1,3.0
290,2,2021-12-01,雨,14.3,3.3,8.8,17.0,81.1,3.3
291,3,2021-12-01,雨,8.0,-2.8,2.6,14.2,82.1,4.1
292,4,2021-12-01,雨,9.5,-1.2,4.2,2.0,77.6,3.2
293,1,2021-12-02,晴れ,13.1,2.1,7.6,0.0,37.0,1.7
294,2,2021-12-02,曇り,12.8,2.1,7.5,0.0,57.2,3.7
295,3,2021-12-02,晴れ,10.4,-0.9,4.8,0.0,48.6,2.0
296,4,2021-12-02,晴れ,11.8,0.7,6.2,0.0,57.2,3.8
297,1,2021-12-03,曇り,15.0,4.0,9.5,0.0,65.5,2.4
298,2,2021-12-03,晴れ,14.0,3.3,8.7,0.0,45.7,4.0
299,3,2021-12-03,晴れ,11.8,0.6,6.2,0.0,51.5,3.8
300,4,2021-12-03,晴れ,12.4,1.5,7.0,0.0,42.3,2.5
301,1,2021-12-04,雨,15.1,3.9,9.5,7.9,77.0,3.3
302,2,2021-12-04,雨,12.5,1.9,7.2,15.2,73.8,3.5
303,3,2021-12-04,雨,8.8,-2.0,3.4,6.0,77.3,3.5
304,4,2021-12-04,雨,12.2,1.1,6.6,12.7,70.9,3.1
305,1,2021-12-05,曇り,14.7,3.8,9.2,0.0,60.1,2.0
306,2,2021-12-05,曇り,15.8,4.8,10.3,0.0,68.8,1.2
307,3,2021-12-05,晴れ,9.3,-1.4,4.0,0.0,40.8,2.1
308,4,2021-12-05,晴れ,13.3,2.2,7.8,0.0,48.2,0.2
309,1,2021-12-06,晴れ,12.2,1.2,6.7,0.0,51.0,1.7
310,2,2021-12-06,晴れ,11.9,1.0,6.5,0.0,39.9,2.8
311,3,2021-12-06,曇り,8.1,-3.0,2.5,0.0,61.9,2.0
312,4,2021-12-06,晴れ,9.4,-1.6,3.9,0.0,45.9,2.2
313,1,2021-12-07,晴れ,12.8,1.6,7.2,0.0,47.4,2.3
314,2,2021-12-07,晴れ,11.6,0.8,6.2,0.0,38.8,1.0
315,3,2021-12-07,晴れ,9.3,-2.0,3.7,0.0,54.6,3.1
316,4,2021-12-07,晴れ,8.1,-2.5,2.8,0.0,31.9,3.3
317,1,2021-12-08,晴れ,11.5,0.5,6.0,0.0,39.3,0.9
318,2,2021-12-08,晴れ,10.7,0.0,5.3,0.0,50.9,3.2
319,3,2021-12-08,晴れ,6.1,-4.7,0.7,0.0,40.4,1.1
320,4,2021-12-08,晴れ,9.7,-1.4,4.1,0.0,39.6,1.0
321,1,2021-12-09,晴れ,8.4,-2.3,3.1,0.0,44.2,2.5
322,2,2021-12-09,晴れ,11.0,-0.1,5.5,0.0,46.0,1.5
323,3,2021-12-09,晴れ,5.0,-5.9,-0.5,0.0,53.5,1.7
324,4,2021-12-09,晴れ,7.8,-3.3,2.2,0.0,48.4,1.7
325,1,2021-12-10,曇り,12.0,1.2,6.6,0.0,68.0,0.8
326,2,2021-12-10,晴れ,13.3,2.3,7.8,0.0,64.9,2.9
327,3,2021-12-10,晴れ,7.7,-3.2,2.2,0.0,43.0,3.9
328,4,2021-12-10,晴れ,9.3,-1.5,3.9,0.0,44.7,1.7
329,1,2021-12-11,晴れ,15.8,4.6,10.2,0.0,38.3,1.5
330,2,2021-12-11,曇り,15.1,4.2,9.7,0.0,65.7,2.3
331,3,2021-12-11,晴れ,11.9,0.6,6.2,0.0,40.0,1.9
332,4,2021-12-11,曇り,13.3,2.2,7.8,0.0,61.2,3.3
333,1,2021-12-12,雨,12.6,1.9,7.2,5.9,75.8,3.3
334,2,2021-12-12,雨,13.9,3.1,8.5,0.5,84.6,3.3
335,3,2021-12-12,雨,9.3,-1.6,3.9,3.9,83.8,3.9
336,4,2021-12-12,雨,10.9,0.1,5.5,4.6,75.9,4.0
337,1,2021-12-13,曇り,13.8,2.7,8.2,0.0,66.2,0.2
338,2,2021-12-13,晴れ,13.4,2.5,8.0,0.0,40.1,2.8
339,3,2021-12-13,曇り,8.9,-2.1,3.4,0.0,48.2,1.0
340,4,2021-12-13,晴れ,12.1,0.9,6.5,0.0,44.0,1.9
341,1,2021-12-14,曇り,13.5,2.5,8.0,0.0,65.7,3.2
342,2,2021-12-14,曇り,13.4,2.5,8.0,0.0,63.5,2.7
343,3,2021-12-14,晴れ,8.8,-2.2,3.3,0.0,50.2,1.6
344,4,2021-12-14,晴れ,9.6,-1.1,4.2,0.0,45.1,3.9
345,1,2021-12-15,晴れ,13.2,2.2,7.7,0.0,42.2,3.3
346,2,2021-12-15,晴れ,14.9,3.7,9.3,0.0,45.0,2.3
347,3,2021-12-15,晴れ,6.9,-3.7,1.6,0.0,57.8,2.0
348,4,2021-12-15,晴れ,11.8,0.7,6.2,0.0,58.9,3.0
349,1,2021-12-16,雪,13.0,2.2,7.6,0.8,63.0,2.9
350,2,2021-12-16,雪,13.4,2.6,8.0,7.9,67.5,1.6
351,3,2021-12-16,雪,9.9,-1.1,4.4,10.5,65.2,2.2
352,4,2021-12-16,雪,9.8,-0.8,4.5,0.8,72.3,3.2
353,1,2021-12-17,雨,12.5,1.5,7.0,41.0,82.2,3.1
354,2,2021-12-17,雨,14.6,3.3,8.9,7.3,78.8,4.6
